candidate_id,series_evidence_id,component_key,component_name,catalog_position,variant_key,variant_label,reference_summary,requested_confirmation,factory_product_name,factory_sku,factory_material,factory_thread,factory_dimensions,factory_compatibility,factory_packaging,factory_moq,factory_lead_time,evidence_type,evidence_reference,verification_status,verified_by,verified_date,image_request_status,notes_internal
501d-candidate-complete-torch-3m,mig-series-501d,complete-torch,Complete Water-Cooled MIG/MAG Welding Torch,assembly,complete-torch-3m,ORK 501D Complete Torch 3M,Catalog lists a 3 m water-cooled complete torch,"Confirm exact model, cable length, coolant circuit and media connections; resolve rating, duty-cycle and wire-range conflicts",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,No SKU until exact torch identity and three conflicts are resolved.
501d-candidate-complete-torch-5m,mig-series-501d,complete-torch,Complete Water-Cooled MIG/MAG Welding Torch,assembly,complete-torch-5m,ORK 501D Complete Torch 5M,Catalog lists a 5 m water-cooled complete torch,"Confirm exact model, cable length, coolant circuit and media connections; resolve rating, duty-cycle and wire-range conflicts",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,No SKU until exact torch identity and three conflicts are resolved.
501d-candidate-nozzle-cylindrical-20mm-wall-2-0,mig-series-501d,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-20mm-wall-2-0,Cylindrical Nozzle 20 mm / 2.0 mm Wall,Catalog lists cylindrical nozzle with 20 mm opening and 2.0 mm wall,"Confirm opening, wall thickness, outside diameter, length, connection and geometry",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,One exact profile/wall variant only.
501d-candidate-nozzle-conical-16mm-wall-2-0,mig-series-501d,gas-nozzle,Gas Nozzle,1,nozzle-conical-16mm-wall-2-0,Conical Nozzle 16 mm / 2.0 mm Wall,Catalog lists conical nozzle with 16 mm opening and 2.0 mm wall,"Confirm opening, wall thickness, outside diameter, length, connection and geometry",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,One exact profile/wall variant only.
501d-candidate-nozzle-tapered-14mm-wall-2-0,mig-series-501d,gas-nozzle,Gas Nozzle,1,nozzle-tapered-14mm-wall-2-0,Tapered Nozzle 14 mm / 2.0 mm Wall,Catalog lists tapered nozzle with 14 mm opening and 2.0 mm wall,"Confirm opening, wall thickness, outside diameter, length, connection and geometry",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,One exact profile/wall variant only.
501d-candidate-nozzle-cylindrical-19mm-wall-2-5,mig-series-501d,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-19mm-wall-2-5,Cylindrical Nozzle 19 mm / 2.5 mm Wall,Catalog lists cylindrical nozzle with 19 mm opening and 2.5 mm wall,"Confirm opening, wall thickness, outside diameter, length, connection and geometry",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,One exact profile/wall variant only.
501d-candidate-nozzle-conical-16mm-wall-2-5,mig-series-501d,gas-nozzle,Gas Nozzle,1,nozzle-conical-16mm-wall-2-5,Conical Nozzle 16 mm / 2.5 mm Wall,Catalog lists conical nozzle with 16 mm opening and 2.5 mm wall,"Confirm opening, wall thickness, outside diameter, length, connection and geometry",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,One exact profile/wall variant only.
501d-candidate-nozzle-tapered-14mm-wall-2-5,mig-series-501d,gas-nozzle,Gas Nozzle,1,nozzle-tapered-14mm-wall-2-5,Tapered Nozzle 14 mm / 2.5 mm Wall,Catalog lists tapered nozzle with 14 mm opening and 2.5 mm wall,"Confirm opening, wall thickness, outside diameter, length, connection and geometry",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,One exact profile/wall variant only.
501d-candidate-tip-ecu-1-0,mig-series-501d,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,Catalog lists E-Cu M8 x 30 contact tip for 1.0 mm wire,"Confirm material grade, thread, length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require qualifying evidence.
501d-candidate-tip-ecu-1-2,mig-series-501d,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,Catalog lists E-Cu M8 x 30 contact tip for 1.2 mm wire,"Confirm material grade, thread, length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require qualifying evidence.
501d-candidate-tip-ecu-1-6,mig-series-501d,contact-tip,Contact Tip,2,contact-tip-ecu-1-6mm,E-Cu Contact Tip 1.6 mm,Catalog lists E-Cu M8 x 30 contact tip for 1.6 mm wire,"Confirm material grade, thread, length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require qualifying evidence.
501d-candidate-tip-cucrzr-1-0,mig-series-501d,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,Catalog lists CuCrZr M8 x 30 contact tip for 1.0 mm wire,"Confirm material grade, thread, length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require qualifying evidence.
501d-candidate-tip-cucrzr-1-2,mig-series-501d,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,Catalog lists CuCrZr M8 x 30 contact tip for 1.2 mm wire,"Confirm material grade, thread, length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require qualifying evidence.
501d-candidate-tip-cucrzr-1-6,mig-series-501d,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-6mm,CuCrZr Contact Tip 1.6 mm,Catalog lists CuCrZr M8 x 30 contact tip for 1.6 mm wire,"Confirm material grade, thread, length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require qualifying evidence.
501d-candidate-tip-cucrzr-2-4,mig-series-501d,contact-tip,Contact Tip,2,contact-tip-cucrzr-2-4mm,CuCrZr Contact Tip 2.4 mm,Catalog lists CuCrZr M8 x 30 contact tip for 2.4 mm wire,"Confirm material grade, thread, length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require qualifying evidence.
501d-candidate-gas-diffuser-dmc,mig-series-501d,gas-diffuser,Gas Diffuser,3,gas-diffuser-dmc,Gas Diffuser DMC,Catalog lists DMC diffuser with shared M16 x 1 / 28 mm diagram,"Confirm construction, thread, length, holes and mating stack",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Do not infer identical geometry across variants.
501d-candidate-gas-diffuser-ceramic,mig-series-501d,gas-diffuser,Gas Diffuser,3,gas-diffuser-ceramic,Gas Diffuser Ceramic,Catalog lists Ceramic diffuser with shared M16 x 1 / 28 mm diagram,"Confirm construction, thread, length, holes and mating stack",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Do not infer identical geometry across variants.
