request_id,sku,product_slug,asset_role,image_type,target_path,shot_guidance,required_detail,source_owner,usage_rights,file_name,review_status,reviewed_by,reviewed_date,notes_internal
img-af-mig-ct-0004-main,AF-MIG-CT-0004,mig-contact-tip-m6-0-8mm,main,front-three-quarter,/images/products/mig-contact-tip-m6-0-8mm.jpg,White background with one clean front three-quarter product view,Keep the complete geometry visible with no labels or dimensions obscured,,,,requested,,,Replace the current supplier image only after approval
img-af-mig-ct-0004-orifice,AF-MIG-CT-0004,mig-contact-tip-m6-0-8mm,technical,orifice-detail,/images/products/mig-contact-tip-m6-0-8mm-orifice.jpg,Macro view square to the wire opening,Show the opening and any genuine product marking without altering geometry,,,,requested,,,
img-af-mig-ct-0004-thread,AF-MIG-CT-0004,mig-contact-tip-m6-0-8mm,technical,thread-detail,/images/products/mig-contact-tip-m6-0-8mm-thread.jpg,Side macro view of the full threaded section,Keep the thread crest and shoulder in focus,,,,requested,,,
img-af-mig-ct-0004-dimension,AF-MIG-CT-0004,mig-contact-tip-m6-0-8mm,technical,dimension-reference,/images/products/mig-contact-tip-m6-0-8mm-dimensions.jpg,Product beside a calibrated ruler or approved dimension drawing,Show measurement reference without perspective distortion,,,,requested,,,
img-af-mig-ct-0004-package,AF-MIG-CT-0004,mig-contact-tip-m6-0-8mm,packaging,package,/images/products/mig-contact-tip-m6-0-8mm-package.jpg,Actual standard packing and visible quantity label,Do not show an unapproved brand or unsupported certification mark,,,,requested,,,
img-af-mig-ct-0005-main,AF-MIG-CT-0005,mig-contact-tip-m6-1-0mm,main,front-three-quarter,/images/products/mig-contact-tip-m6-1-0mm.jpg,White background with one clean front three-quarter product view,Keep the complete geometry visible with no labels or dimensions obscured,,,,requested,,,Replace the current supplier image only after approval
img-af-mig-ct-0005-orifice,AF-MIG-CT-0005,mig-contact-tip-m6-1-0mm,technical,orifice-detail,/images/products/mig-contact-tip-m6-1-0mm-orifice.jpg,Macro view square to the wire opening,Show the opening and any genuine product marking without altering geometry,,,,requested,,,
img-af-mig-ct-0005-thread,AF-MIG-CT-0005,mig-contact-tip-m6-1-0mm,technical,thread-detail,/images/products/mig-contact-tip-m6-1-0mm-thread.jpg,Side macro view of the full threaded section,Keep the thread crest and shoulder in focus,,,,requested,,,
img-af-mig-ct-0005-dimension,AF-MIG-CT-0005,mig-contact-tip-m6-1-0mm,technical,dimension-reference,/images/products/mig-contact-tip-m6-1-0mm-dimensions.jpg,Product beside a calibrated ruler or approved dimension drawing,Show measurement reference without perspective distortion,,,,requested,,,
img-af-mig-ct-0005-package,AF-MIG-CT-0005,mig-contact-tip-m6-1-0mm,packaging,package,/images/products/mig-contact-tip-m6-1-0mm-package.jpg,Actual standard packing and visible quantity label,Do not show an unapproved brand or unsupported certification mark,,,,requested,,,
img-af-mig-th-0007-main,AF-MIG-TH-0007,mig-tip-holder-for-mb15,main,front-three-quarter,/images/products/mig-tip-holder-for-mb15-catalog.jpg,White background with one clean front three-quarter product view,Keep both connection ends visible and in focus,,,,requested,,,Replace the current supplier image only after approval
img-af-mig-th-0007-tip-side,AF-MIG-TH-0007,mig-tip-holder-for-mb15,technical,contact-tip-connection,/images/products/mig-tip-holder-for-mb15-tip-side.jpg,Macro view square to the contact-tip side connection,Show thread and seating geometry without inserting another part,,,,requested,,,
img-af-mig-th-0007-neck-side,AF-MIG-TH-0007,mig-tip-holder-for-mb15,technical,torch-neck-connection,/images/products/mig-tip-holder-for-mb15-neck-side.jpg,Macro view square to the torch-neck side connection,Show thread direction and shoulder geometry clearly,,,,requested,,,
img-af-mig-th-0007-dimension,AF-MIG-TH-0007,mig-tip-holder-for-mb15,technical,dimension-reference,/images/products/mig-tip-holder-for-mb15-dimensions.jpg,Product beside a calibrated ruler or approved dimension drawing,Show overall length and both connection references without perspective distortion,,,,requested,,,
img-af-mig-th-0007-package,AF-MIG-TH-0007,mig-tip-holder-for-mb15,packaging,package,/images/products/mig-tip-holder-for-mb15-package.jpg,Actual standard packing and visible quantity label,Do not show an unapproved brand or unsupported certification mark,,,,requested,,,
img-af-mig-gn-0008-main,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,main,front-three-quarter,/images/products/mig-gas-nozzle-for-mb15.jpg,White background with one approved nozzle variant in a front three-quarter view,State the photographed profile in the internal file record,,,,requested,,,Replace the current supplier image only after approval
img-af-mig-gn-0008-opening,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,technical,opening-profile-detail,/images/products/mig-gas-nozzle-for-mb15-opening.jpg,Front and side detail of the same approved nozzle variant,Show opening profile and rim without perspective distortion,,,,requested,,,
img-af-mig-gn-0008-connection,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,technical,connection-detail,/images/products/mig-gas-nozzle-for-mb15-connection.jpg,Macro view of the attachment end,Show the genuine attachment and internal geometry clearly,,,,requested,,,
img-af-mig-gn-0008-dimension,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,technical,dimension-reference,/images/products/mig-gas-nozzle-for-mb15-dimensions.jpg,Approved nozzle variant beside a calibrated ruler or controlled drawing,Show overall length and opening reference for the same variant,,,,requested,,,
img-af-mig-gn-0008-package,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,packaging,package,/images/products/mig-gas-nozzle-for-mb15-package.jpg,Actual standard packing and visible quantity label,Do not show an unapproved brand or unsupported certification mark,,,,requested,,,
