candidate_id,series_evidence_id,component_key,component_name,catalog_position,variant_key,variant_label,reference_summary,requested_confirmation,factory_product_name,factory_sku,factory_material,factory_thread,factory_dimensions,factory_compatibility,factory_packaging,factory_moq,factory_lead_time,evidence_type,evidence_reference,verification_status,verified_by,verified_date,image_request_status,notes_internal
40kd-candidate-complete-torch-3m,mig-series-40kd,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-3m,ORK 40KD Complete Torch 3M,Catalog lists a 3 m complete torch,Confirm exact supplied model and cable length; resolve rating and duty-cycle conflicts; provide factory specification or drawing,,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,No SKU until the exact torch and both conflicts are resolved.
40kd-candidate-complete-torch-5m,mig-series-40kd,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-5m,ORK 40KD Complete Torch 5M,Catalog lists a 5 m complete torch,Confirm exact supplied model and cable length; resolve rating and duty-cycle conflicts; provide factory specification or drawing,,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,No SKU until the exact torch and both conflicts are resolved.
40kd-candidate-nozzle-cylindrical-21,mig-series-40kd,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-21mm,Cylindrical Nozzle 21 mm,Catalog lists cylindrical nozzle with 21 mm opening,"Confirm opening, outside diameter, length, connection and exact geometry by drawing or sample",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,One exact nozzle profile only.
40kd-candidate-nozzle-conical-18,mig-series-40kd,gas-nozzle,Gas Nozzle,1,nozzle-conical-18mm,Conical Nozzle 18 mm,Catalog lists conical nozzle with 18 mm opening,"Confirm opening, outside diameter, length, connection and exact geometry by drawing or sample",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,One exact nozzle profile only.
40kd-candidate-nozzle-tapered-14,mig-series-40kd,gas-nozzle,Gas Nozzle,1,nozzle-tapered-14mm,Tapered Nozzle 14 mm,Catalog lists tapered nozzle with 14 mm opening,"Confirm opening, outside diameter, length, connection and exact geometry by drawing or sample",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,One exact nozzle profile only.
40kd-candidate-tip-ecu-1-0,mig-series-40kd,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,Catalog lists E-Cu M8 x 30 contact tip for 1.0 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require factory evidence or verified marking.
40kd-candidate-tip-ecu-1-2,mig-series-40kd,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,Catalog lists E-Cu M8 x 30 contact tip for 1.2 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require factory evidence or verified marking.
40kd-candidate-tip-ecu-1-6,mig-series-40kd,contact-tip,Contact Tip,2,contact-tip-ecu-1-6mm,E-Cu Contact Tip 1.6 mm,Catalog lists E-Cu M8 x 30 contact tip for 1.6 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require factory evidence or verified marking.
40kd-candidate-tip-cucrzr-1-0,mig-series-40kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,Catalog lists CuCrZr M8 x 30 contact tip for 1.0 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require factory evidence or verified marking.
40kd-candidate-tip-cucrzr-1-2,mig-series-40kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,Catalog lists CuCrZr M8 x 30 contact tip for 1.2 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require factory evidence or verified marking.
40kd-candidate-tip-cucrzr-1-6,mig-series-40kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-6mm,CuCrZr Contact Tip 1.6 mm,Catalog lists CuCrZr M8 x 30 contact tip for 1.6 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require factory evidence or verified marking.
40kd-candidate-tip-cucrzr-2-0,mig-series-40kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-2-0mm,CuCrZr Contact Tip 2.0 mm,Catalog lists CuCrZr M8 x 30 contact tip for 2.0 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require factory evidence or verified marking.
40kd-candidate-tip-cucrzr-2-4,mig-series-40kd,contact-tip,Contact Tip,2,contact-tip-cucrzr-2-4mm,CuCrZr Contact Tip 2.4 mm,Catalog lists CuCrZr M8 x 30 contact tip for 2.4 mm wire,"Confirm material grade, M8 thread, 30 mm length, body diameter, bore and genuine marking",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Material and wire size require factory evidence or verified marking.
40kd-candidate-tip-holder-43,mig-series-40kd,tip-holder,Contact Tip Holder,3,tip-holder-43mm,Contact Tip Holder M8 x 43 mm,Catalog lists M8 x 43 mm contact tip holder,"Confirm both threads, exact length, material and mating front-end stack",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Exact holder candidate only.
40kd-candidate-gas-diffuser-dmc,mig-series-40kd,gas-diffuser,Gas Diffuser,4,gas-diffuser-dmc,Gas Diffuser DMC,Catalog lists DMC diffuser with shared 31.8 mm diagram,"Confirm construction, length, interfaces, holes and exact mating stack",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Do not infer identical geometry across variants.
40kd-candidate-gas-diffuser-ceramic,mig-series-40kd,gas-diffuser,Gas Diffuser,4,gas-diffuser-ceramic,Gas Diffuser Ceramic,Catalog lists Ceramic diffuser with shared 31.8 mm diagram,"Confirm construction, length, interfaces, holes and exact mating stack",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Do not infer identical geometry across variants.
40kd-candidate-swan-neck,mig-series-40kd,swan-neck,Swan Neck,5,swan-neck,Swan Neck,Catalog exploded assembly lists the swan neck,"Confirm exact identity, interfaces, dimensions, material and mating parts",,,,,,,,,,,,NEEDS_FACTORY_CONFIRMATION,,,requested,Catalog-presence record only.
