sku,product_name,category,expected_image_file,current_asset_status,priority,recommended_shots,required_action,notes
AF-MIG-CT-0004,MIG Contact Tip M6 0.8mm,MIG/MAG Torch Parts,mig-contact-tip-m6-0-8mm.jpg,missing - placeholder fallback active,High,"single product; thread close-up; group with 1.0mm and 1.2mm sizes","Add real product photo to public/images/products/","Confirm length and material grade before publishing as confirmed data."
AF-MIG-CT-0005,MIG Contact Tip M6 1.0mm,MIG/MAG Torch Parts,mig-contact-tip-m6-1-0mm.jpg,missing - placeholder fallback active,High,"single product; thread close-up; group with 0.8mm and 1.2mm sizes","Add real product photo to public/images/products/","Confirm length and material grade before publishing as confirmed data."
AF-MIG-CT-0006,MIG Contact Tip M6 1.2mm,MIG/MAG Torch Parts,mig-contact-tip-m6-1-2mm.jpg,missing - placeholder fallback active,High,"single product; thread close-up; group with 0.8mm and 1.0mm sizes","Add real product photo to public/images/products/","Confirm length and material grade before publishing as confirmed data."
AF-MIG-TH-0007,MIG Tip Holder for MB15,MIG/MAG Torch Parts,mig-tip-holder-for-mb15.jpg,missing - placeholder fallback active,High,"side view; thread close-up; product with contact tip if available","Add real product photo to public/images/products/","MB15 is treated as reference wording until confirmed by sample drawing or model number."
AF-MIG-GN-0008,MIG Gas Nozzle for MB15,MIG/MAG Torch Parts,mig-gas-nozzle-for-mb15.jpg,missing - placeholder fallback active,High,"side view; front opening view; group of nozzle shapes if available","Add real product photo to public/images/products/","Confirm nozzle shape finish and dimensions before publishing as confirmed data."
AF-MIG-DF-0003,MIG Diffuser,MIG/MAG Torch Parts,mig-diffuser.jpg,local asset exists - authorization/data still needs review,Medium,"side view; thread close-up; group with nozzle and contact tip","Confirm asset authorization or replace with real photo","Confirm thread and torch series before model-specific labeling."
AF-MIG-TL-0009,MIG Torch Liner,MIG/MAG Torch Parts,mig-torch-liner.jpg,missing - placeholder fallback active,Medium,"coiled liner view; connector end close-up; package view","Add real product photo to public/images/products/","Confirm wire size liner length and liner type."
AF-MIG-SN-0010,MIG Swan Neck,MIG/MAG Torch Parts,mig-swan-neck.jpg,missing - placeholder fallback active,Medium,"full swan neck side view; connection detail; angle detail","Add real product photo to public/images/products/","Confirm torch model neck angle and connection."
AF-TIG-CC-0007,TIG Ceramic Cup #5,TIG Torch Parts,tig-ceramic-cup-5.jpg,missing - placeholder fallback active,High,"side view; opening view; group with #6 if available","Add real product photo to public/images/products/","Confirm cup number dimensions and torch series."
AF-TIG-CC-0008,TIG Ceramic Cup #6,TIG Torch Parts,tig-ceramic-cup-6.jpg,missing - placeholder fallback active,High,"side view; opening view; group with #5 if available","Add real product photo to public/images/products/","Confirm cup number dimensions and torch series."
AF-TIG-CL-0009,TIG Collet,TIG Torch Parts,tig-collet.jpg,missing - placeholder fallback active,Medium,"side view; slot detail; group by tungsten size if available","Add real product photo to public/images/products/","Confirm tungsten size and torch series."
AF-TIG-CB-0005,TIG Collet Body,TIG Torch Parts,tig-collet-body.jpg,local asset exists - authorization/data still needs review,Medium,"side view; thread close-up; group with collet","Confirm asset authorization or replace with real photo","Confirm tungsten size and torch series."
