request_id,series_evidence_id,candidate_id,component_key,variant_key,variant_label,asset_role,image_type,target_path,shot_guidance,required_detail,source_owner,usage_rights,file_name,review_status,reviewed_by,reviewed_date,notes_internal
40kd-img-complete-torch-3m-main,mig-series-40kd,40kd-candidate-complete-torch-3m,complete-torch,complete-torch-3m,ORK 40KD Complete Torch 3M,main,front-three-quarter,/images/products/40kd-intake/complete-torch-3m-main.jpg,White background with complete torch and cable visible,"Show front end, handle, cable and machine connector without changing geometry",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-complete-torch-5m-main,mig-series-40kd,40kd-candidate-complete-torch-5m,complete-torch,complete-torch-5m,ORK 40KD Complete Torch 5M,main,front-three-quarter,/images/products/40kd-intake/complete-torch-5m-main.jpg,White background with complete torch and cable visible,"Show front end, handle, cable and machine connector without changing geometry",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-nozzle-cylindrical-21mm-main,mig-series-40kd,40kd-candidate-nozzle-cylindrical-21,gas-nozzle,nozzle-cylindrical-21mm,Cylindrical Nozzle 21 mm,main,front-three-quarter,/images/products/40kd-intake/nozzle-cylindrical-21mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-nozzle-conical-18mm-main,mig-series-40kd,40kd-candidate-nozzle-conical-18,gas-nozzle,nozzle-conical-18mm,Conical Nozzle 18 mm,main,front-three-quarter,/images/products/40kd-intake/nozzle-conical-18mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-nozzle-tapered-14mm-main,mig-series-40kd,40kd-candidate-nozzle-tapered-14,gas-nozzle,nozzle-tapered-14mm,Tapered Nozzle 14 mm,main,front-three-quarter,/images/products/40kd-intake/nozzle-tapered-14mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-contact-tip-ecu-1-0mm-main,mig-series-40kd,40kd-candidate-tip-ecu-1-0,contact-tip,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,main,front-three-quarter,/images/products/40kd-intake/contact-tip-ecu-1-0mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-contact-tip-ecu-1-2mm-main,mig-series-40kd,40kd-candidate-tip-ecu-1-2,contact-tip,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,main,front-three-quarter,/images/products/40kd-intake/contact-tip-ecu-1-2mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-contact-tip-ecu-1-6mm-main,mig-series-40kd,40kd-candidate-tip-ecu-1-6,contact-tip,contact-tip-ecu-1-6mm,E-Cu Contact Tip 1.6 mm,main,front-three-quarter,/images/products/40kd-intake/contact-tip-ecu-1-6mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-contact-tip-cucrzr-1-0mm-main,mig-series-40kd,40kd-candidate-tip-cucrzr-1-0,contact-tip,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,main,front-three-quarter,/images/products/40kd-intake/contact-tip-cucrzr-1-0mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-contact-tip-cucrzr-1-2mm-main,mig-series-40kd,40kd-candidate-tip-cucrzr-1-2,contact-tip,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,main,front-three-quarter,/images/products/40kd-intake/contact-tip-cucrzr-1-2mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-contact-tip-cucrzr-1-6mm-main,mig-series-40kd,40kd-candidate-tip-cucrzr-1-6,contact-tip,contact-tip-cucrzr-1-6mm,CuCrZr Contact Tip 1.6 mm,main,front-three-quarter,/images/products/40kd-intake/contact-tip-cucrzr-1-6mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-contact-tip-cucrzr-2-0mm-main,mig-series-40kd,40kd-candidate-tip-cucrzr-2-0,contact-tip,contact-tip-cucrzr-2-0mm,CuCrZr Contact Tip 2.0 mm,main,front-three-quarter,/images/products/40kd-intake/contact-tip-cucrzr-2-0mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-contact-tip-cucrzr-2-4mm-main,mig-series-40kd,40kd-candidate-tip-cucrzr-2-4,contact-tip,contact-tip-cucrzr-2-4mm,CuCrZr Contact Tip 2.4 mm,main,front-three-quarter,/images/products/40kd-intake/contact-tip-cucrzr-2-4mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-tip-holder-43mm-main,mig-series-40kd,40kd-candidate-tip-holder-43,tip-holder,tip-holder-43mm,Contact Tip Holder M8 x 43 mm,main,front-three-quarter,/images/products/40kd-intake/tip-holder-43mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-gas-diffuser-dmc-main,mig-series-40kd,40kd-candidate-gas-diffuser-dmc,gas-diffuser,gas-diffuser-dmc,Gas Diffuser DMC,main,front-three-quarter,/images/products/40kd-intake/gas-diffuser-dmc-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
40kd-img-gas-diffuser-ceramic-main,mig-series-40kd,40kd-candidate-gas-diffuser-ceramic,gas-diffuser,gas-diffuser-ceramic,Gas Diffuser Ceramic,main,front-three-quarter,/images/products/40kd-intake/gas-diffuser-ceramic-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, connection interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
