request_id,series_evidence_id,candidate_id,component_key,variant_key,variant_label,asset_role,image_type,target_path,shot_guidance,required_detail,source_owner,usage_rights,file_name,review_status,reviewed_by,reviewed_date,notes_internal
15ak-img-av-torch-2-5m-main,mig-series-15ak,15ak-candidate-av-torch-2-5m,av-complete-torch,av-torch-2-5m,ORK 15AK Air Valve Torch 2.5 m,main,complete-torch-layout,/images/products/15ak-intake/av-torch-2-5m-main.jpg,White background with the complete torch and cable arranged without tight coils,"Show handle, swan neck, full cable assembly and machine-side termination without cropping",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-torch-3m-main,mig-series-15ak,15ak-candidate-av-torch-3m,av-complete-torch,av-torch-3m,ORK 15AK Air Valve Torch 3 m,main,complete-torch-layout,/images/products/15ak-intake/av-torch-3m-main.jpg,White background with the complete torch and cable arranged without tight coils,"Show handle, swan neck, full cable assembly and machine-side termination without cropping",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-nozzle-cylindrical-16mm-main,mig-series-15ak,15ak-candidate-av-nozzle-cylindrical-16mm,av-gas-nozzle,av-nozzle-cylindrical-16mm,Air-Valve Arrangement Cylindrical Nozzle 16 mm,main,front-three-quarter,/images/products/15ak-intake/av-nozzle-cylindrical-16mm-main.jpg,White background with one exact nozzle in front-three-quarter view,"Show complete profile, opening and attachment end without perspective distortion",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-nozzle-conical-12mm-main,mig-series-15ak,15ak-candidate-av-nozzle-conical-12mm,av-gas-nozzle,av-nozzle-conical-12mm,Air-Valve Arrangement Conical Nozzle 12 mm,main,front-three-quarter,/images/products/15ak-intake/av-nozzle-conical-12mm-main.jpg,White background with one exact nozzle in front-three-quarter view,"Show complete profile, opening and attachment end without perspective distortion",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-nozzle-tapered-9-5mm-main,mig-series-15ak,15ak-candidate-av-nozzle-tapered-9-5mm,av-gas-nozzle,av-nozzle-tapered-9-5mm,Air-Valve Arrangement Tapered Nozzle 9.5 mm,main,front-three-quarter,/images/products/15ak-intake/av-nozzle-tapered-9-5mm-main.jpg,White background with one exact nozzle in front-three-quarter view,"Show complete profile, opening and attachment end without perspective distortion",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-tip-ecu-0-6mm-main,mig-series-15ak,15ak-candidate-av-tip-ecu-0-6mm,av-contact-tip,av-tip-ecu-0-6mm,Air-Valve Arrangement E-Cu Contact Tip 0.6 mm,main,front-three-quarter,/images/products/15ak-intake/av-tip-ecu-0-6mm-main.jpg,White background with one exact contact tip,"Show complete body, thread, wire opening and genuine marking without retouching geometry",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-tip-ecu-0-8mm-main,mig-series-15ak,15ak-candidate-av-tip-ecu-0-8mm,av-contact-tip,av-tip-ecu-0-8mm,Air-Valve Arrangement E-Cu Contact Tip 0.8 mm,main,front-three-quarter,/images/products/15ak-intake/av-tip-ecu-0-8mm-main.jpg,White background with one exact contact tip,"Show complete body, thread, wire opening and genuine marking without retouching geometry",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-tip-ecu-0-9mm-main,mig-series-15ak,15ak-candidate-av-tip-ecu-0-9mm,av-contact-tip,av-tip-ecu-0-9mm,Air-Valve Arrangement E-Cu Contact Tip 0.9 mm,main,front-three-quarter,/images/products/15ak-intake/av-tip-ecu-0-9mm-main.jpg,White background with one exact contact tip,"Show complete body, thread, wire opening and genuine marking without retouching geometry",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-tip-ecu-1-0mm-main,mig-series-15ak,15ak-candidate-av-tip-ecu-1-0mm,av-contact-tip,av-tip-ecu-1-0mm,Air-Valve Arrangement E-Cu Contact Tip 1.0 mm,main,front-three-quarter,/images/products/15ak-intake/av-tip-ecu-1-0mm-main.jpg,White background with one exact contact tip,"Show complete body, thread, wire opening and genuine marking without retouching geometry",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-tip-cucrzr-0-6mm-main,mig-series-15ak,15ak-candidate-av-tip-cucrzr-0-6mm,av-contact-tip,av-tip-cucrzr-0-6mm,Air-Valve Arrangement CuCrZr Contact Tip 0.6 mm,main,front-three-quarter,/images/products/15ak-intake/av-tip-cucrzr-0-6mm-main.jpg,White background with one exact contact tip,"Show complete body, thread, wire opening and genuine marking without retouching geometry",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-tip-cucrzr-0-8mm-main,mig-series-15ak,15ak-candidate-av-tip-cucrzr-0-8mm,av-contact-tip,av-tip-cucrzr-0-8mm,Air-Valve Arrangement CuCrZr Contact Tip 0.8 mm,main,front-three-quarter,/images/products/15ak-intake/av-tip-cucrzr-0-8mm-main.jpg,White background with one exact contact tip,"Show complete body, thread, wire opening and genuine marking without retouching geometry",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-tip-cucrzr-1-0mm-main,mig-series-15ak,15ak-candidate-av-tip-cucrzr-1-0mm,av-contact-tip,av-tip-cucrzr-1-0mm,Air-Valve Arrangement CuCrZr Contact Tip 1.0 mm,main,front-three-quarter,/images/products/15ak-intake/av-tip-cucrzr-1-0mm-main.jpg,White background with one exact contact tip,"Show complete body, thread, wire opening and genuine marking without retouching geometry",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-tip-holder-main,mig-series-15ak,15ak-candidate-av-tip-holder,av-contact-tip-holder,av-tip-holder,Air-Valve Arrangement Contact Tip Holder,main,front-three-quarter,/images/products/15ak-intake/av-tip-holder-main.jpg,White background with one exact component in front-three-quarter view,"Show complete geometry, both connection ends and genuine markings without cropping",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-insulator-main,mig-series-15ak,15ak-candidate-av-insulator,av-insulator,av-insulator,Insulator,main,front-three-quarter,/images/products/15ak-intake/av-insulator-main.jpg,White background with one exact component in front-three-quarter view,"Show complete geometry, both connection ends and genuine markings without cropping",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-swan-neck-main,mig-series-15ak,15ak-candidate-av-swan-neck,av-swan-neck,av-swan-neck,Swan Neck,main,front-three-quarter,/images/products/15ak-intake/av-swan-neck-main.jpg,White background with one exact component in front-three-quarter view,"Show complete geometry, both connection ends and genuine markings without cropping",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-hex-nut-m8-main,mig-series-15ak,15ak-candidate-av-hex-nut-m8,av-hex-nut-m8,av-hex-nut-m8,Hexagon Nut M8,main,front-three-quarter,/images/products/15ak-intake/av-hex-nut-m8-main.jpg,White background with one exact component in front-three-quarter view,"Show complete geometry, both connection ends and genuine markings without cropping",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-air-valve-main,mig-series-15ak,15ak-candidate-av-air-valve,av-air-valve,av-air-valve,Air Valve,main,front-three-quarter,/images/products/15ak-intake/av-air-valve-main.jpg,White background with one exact component in front-three-quarter view,"Show complete geometry, both connection ends and genuine markings without cropping",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-air-line-main,mig-series-15ak,15ak-candidate-av-air-line,av-air-line,av-air-line,Air Line,main,front-three-quarter,/images/products/15ak-intake/av-air-line-main.jpg,White background with one exact component in front-three-quarter view,"Show complete geometry, both connection ends and genuine markings without cropping",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-switch-line-main,mig-series-15ak,15ak-candidate-av-switch-line,av-switch-line,av-switch-line,Switch Line,main,front-three-quarter,/images/products/15ak-intake/av-switch-line-main.jpg,White background with one exact component in front-three-quarter view,"Show complete geometry, both connection ends and genuine markings without cropping",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-liner-2-5m-main,mig-series-15ak,15ak-candidate-av-liner-2-5m,av-torch-liner,av-liner-2-5m,Air-Valve Arrangement Torch Liner 2.5 m,main,complete-liner-layout,/images/products/15ak-intake/av-liner-2-5m-main.jpg,White background with the exact liner arranged without tight coils,"Show both ends, construction, color and a full-length reference",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-liner-3m-main,mig-series-15ak,15ak-candidate-av-liner-3m,av-torch-liner,av-liner-3m,Air-Valve Arrangement Torch Liner 3 m,main,complete-liner-layout,/images/products/15ak-intake/av-liner-3m-main.jpg,White background with the exact liner arranged without tight coils,"Show both ends, construction, color and a full-length reference",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-cable-2-5m-main,mig-series-15ak,15ak-candidate-av-cable-2-5m,av-cable-assembly,av-cable-2-5m,Air-Valve Arrangement Cable 2.5 m,main,complete-cable-layout,/images/products/15ak-intake/av-cable-2-5m-main.jpg,White background with the exact cable assembly arranged without tight coils,"Show both terminations, all lines and a complete length reference",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
15ak-img-av-cable-3m-main,mig-series-15ak,15ak-candidate-av-cable-3m,av-cable-assembly,av-cable-3m,Air-Valve Arrangement Cable 3 m,main,complete-cable-layout,/images/products/15ak-intake/av-cable-3m-main.jpg,White background with the exact cable assembly arranged without tight coils,"Show both terminations, all lines and a complete length reference",,,,requested,,,Exact product candidate only. Do not approve from a family-level or visually similar image.
