sku,product_name,category,category_slug,slug,material,size,thread,compatible_brand,compatible_model,oem_number,package,moq,lead_time,application,oem_service,main_image,gallery_images,image_type,image_status,authorization_status,data_status,compatibility_status,oem_status,missing_real_data
AF-MIG-CT-0001,MIG Contact Tip,MIG/MAG Torch Parts,mig-mag-torch-parts,mig-contact-tip,Copper material - specific grade to be confirmed,Available upon request,Available upon request,Contact us for details,Compatibility can be confirmed by sample drawing or model number,TBD,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG welding torch consumables,Logo packaging private label and model customization available,/images/products/mig-contact-tip.jpg,,Local product photo,usable for draft site,Authorization to confirm,needs_review,unverified,unknown,Exact wire size thread length material grade compatible torch series OEM reference and package quantity
AF-MIG-GN-0002,MIG Gas Nozzle,MIG/MAG Torch Parts,mig-mag-torch-parts,mig-gas-nozzle,Copper or plated material - exact grade to be confirmed,Available upon request,Available upon request,Contact us for details,Compatibility can be confirmed by sample drawing or model number,TBD,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG welding torch consumables,Logo packaging private label and model customization available,/images/products/mig-gas-nozzle.jpg,"/images/products/mig-gas-nozzle-gallery-1.jpg,/images/products/mig-gas-nozzle-gallery-2.jpg,/images/products/mig-gas-nozzle-gallery-3.jpg",Local product photo,usable for draft site,Authorization to confirm,needs_review,unverified,unknown,Nozzle shape size finish compatible torch series OEM reference and package quantity
AF-MIG-DF-0003,MIG Diffuser,MIG/MAG Torch Parts,mig-mag-torch-parts,mig-diffuser,Copper material - specific grade to be confirmed,Available upon request,Available upon request,Contact us for details,Compatibility can be confirmed by sample drawing or model number,TBD,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG welding torch consumables,Logo packaging private label and model customization available,/images/products/mig-diffuser.jpg,,Generated product visual,placeholder image,Replace with real product photo,needs_review,unverified,unknown,Exact thread size material grade compatible torch series OEM reference and real product photo
AF-TIG-CC-0004,TIG Ceramic Cup,TIG Torch Parts,tig-torch-parts,tig-ceramic-cup,Ceramic material - exact grade to be confirmed,Available upon request,Available upon request,Contact us for details,Compatibility can be confirmed by sample drawing or model number,TBD,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG welding torch consumables,Logo packaging private label and model customization available,/images/products/tig-ceramic-cup.jpg,,Local product photo,usable for draft site,Authorization to confirm,needs_review,unverified,unknown,Cup number ceramic grade torch series package quantity and OEM reference
AF-TIG-CB-0005,TIG Collet Body,TIG Torch Parts,tig-torch-parts,tig-collet-body,Copper material - specific grade to be confirmed,Available upon request,Available upon request,Contact us for details,Compatibility can be confirmed by sample drawing or model number,TBD,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG welding torch consumables,Logo packaging private label and model customization available,/images/products/tig-collet-body.jpg,,Generated product visual,placeholder image,Replace with real product photo,needs_review,unverified,unknown,Tungsten size thread material grade compatible torch series OEM reference and real product photo
AF-TIG-GL-0006,TIG Gas Lens,TIG Torch Parts,tig-torch-parts,tig-gas-lens,Copper or brass material - exact grade to be confirmed,Available upon request,Available upon request,Contact us for details,Compatibility can be confirmed by sample drawing or model number,TBD,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG welding torch consumables,Logo packaging private label and model customization available,/images/products/tig-gas-lens.jpg,,Generated product visual,placeholder image,Replace with real product photo,needs_review,unverified,unknown,Tungsten size gas lens type mesh details torch series OEM reference and real product photo
AF-PLA-EL-0007,Plasma Electrode,Plasma Cutting Consumables,plasma-cutting-consumables,plasma-electrode,Material details available upon request,Available upon request,Available upon request,Contact us for details,Compatibility can be confirmed by sample drawing or model number,TBD,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,Plasma cutting consumables,Logo packaging private label and model customization available,/images/products/plasma-electrode.jpg,,Generated product visual,placeholder image,Replace with real product photo,needs_review,unverified,unknown,Torch model reference number material grade size package quantity and real product photo
AF-PLA-NZ-0008,Plasma Nozzle,Plasma Cutting Consumables,plasma-cutting-consumables,plasma-nozzle,Material details available upon request,Available upon request,Available upon request,Contact us for details,Compatibility can be confirmed by sample drawing or model number,TBD,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,Plasma cutting consumables,Logo packaging private label and model customization available,/images/products/plasma-nozzle.jpg,,Generated product visual,placeholder image,Replace with real product photo,needs_review,unverified,unknown,Torch model nozzle size reference number material grade package quantity and real product photo
AF-PLA-SR-0009,Plasma Swirl Ring,Plasma Cutting Consumables,plasma-cutting-consumables,plasma-swirl-ring,Material details available upon request,Available upon request,Available upon request,Contact us for details,Compatibility can be confirmed by sample drawing or model number,TBD,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,Plasma cutting consumables,Logo packaging private label and model customization available,/images/products/plasma-swirl-ring.jpg,,Generated product visual,placeholder image,Replace with real product photo,needs_review,unverified,unknown,Torch model stack compatibility material size reference number and real product photo
AF-CON-EH-0010,Electrode Holder,Welding Consumables,welding-consumables,electrode-holder,Material details available upon request,Available upon request,Available upon request,Contact us for details,Contact us for details,TBD,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MMA welding consumables and workshop supply,Logo packaging private label and model customization available,/images/products/electrode-holder.jpg,,Generated product visual,placeholder image,Replace with real product photo,needs_review,unverified,unknown,Current rating cable connection material package quantity and real product photo
