request_id,series_evidence_id,candidate_id,component_key,variant_key,variant_label,asset_role,image_type,target_path,shot_guidance,required_detail,source_owner,usage_rights,file_name,review_status,reviewed_by,reviewed_date,notes_internal
"602-img-complete-torch-3m-main","mig-series-602","602-candidate-complete-torch-3m","complete-torch","complete-torch-3m","ORK 602 Complete Torch 3M","main","complete-torch-layout","/images/products/602-intake/complete-torch-3m-main.jpg","White background with the complete torch, cable and all connection leads visible","Show handle, front end, full cable, central connector and every coolant/media lead without changing geometry","","","","requested","","","Exact candidate only; do not substitute a visually similar part."
"602-img-complete-torch-3m-front-end-stack","mig-series-602","602-candidate-complete-torch-3m","complete-torch","complete-torch-3m","ORK 602 Complete Torch 3M","gallery","front-end-disassembly","/images/products/602-intake/complete-torch-3m-front-end-stack.jpg","Lay out the exact nozzle-to-neck parts in removal order on a white background","Show interfaces, seals and genuine markings while preserving the actual component order","","","","requested","","","Exact candidate only; do not substitute a visually similar part."
"602-img-complete-torch-3m-rear-connections","mig-series-602","602-candidate-complete-torch-3m","complete-torch","complete-torch-3m","ORK 602 Complete Torch 3M","technical","rear-connection-detail","/images/products/602-intake/complete-torch-3m-rear-connections.jpg","Photograph every rear and media connection from a straight, well-lit angle","Include verified labels or a controlled diagram; do not assign coolant, gas, power or control functions from color","","","","requested","","","Exact candidate only; do not substitute a visually similar part."
"602-img-complete-torch-5m-main","mig-series-602","602-candidate-complete-torch-5m","complete-torch","complete-torch-5m","ORK 602 Complete Torch 5M","main","complete-torch-layout","/images/products/602-intake/complete-torch-5m-main.jpg","White background with the complete torch, cable and all connection leads visible","Show handle, front end, full cable, central connector and every coolant/media lead without changing geometry","","","","requested","","","Exact candidate only; do not substitute a visually similar part."
"602-img-complete-torch-5m-front-end-stack","mig-series-602","602-candidate-complete-torch-5m","complete-torch","complete-torch-5m","ORK 602 Complete Torch 5M","gallery","front-end-disassembly","/images/products/602-intake/complete-torch-5m-front-end-stack.jpg","Lay out the exact nozzle-to-neck parts in removal order on a white background","Show interfaces, seals and genuine markings while preserving the actual component order","","","","requested","","","Exact candidate only; do not substitute a visually similar part."
"602-img-complete-torch-5m-rear-connections","mig-series-602","602-candidate-complete-torch-5m","complete-torch","complete-torch-5m","ORK 602 Complete Torch 5M","technical","rear-connection-detail","/images/products/602-intake/complete-torch-5m-rear-connections.jpg","Photograph every rear and media connection from a straight, well-lit angle","Include verified labels or a controlled diagram; do not assign coolant, gas, power or control functions from color","","","","requested","","","Exact candidate only; do not substitute a visually similar part."
"602-img-gas-nozzle-18mm-main","mig-series-602","602-candidate-gas-nozzle-18mm","gas-nozzle","gas-nozzle-18mm","Gas Nozzle 18 mm","main","front-three-quarter","/images/products/602-intake/gas-nozzle-18mm-main.jpg","White background with one exact product centered and fully visible","Show complete geometry, interfaces and genuine markings in focus","","","","requested","","","Exact candidate only; do not substitute a visually similar part."
"602-img-gas-nozzle-18mm-dimensions","mig-series-602","602-candidate-gas-nozzle-18mm","gas-nozzle","gas-nozzle-18mm","Gas Nozzle 18 mm","dimension","measured-dimension-view","/images/products/602-intake/gas-nozzle-18mm-dimensions.jpg","Show the exact nozzle beside calibrated measuring tools","Record opening, overall length, outside diameters and connection dimensions without editing the product shape","","","","requested","","","Exact candidate only; do not substitute a visually similar part."
"602-img-contact-tip-ecu-1-0mm-main","mig-series-602","602-candidate-contact-tip-ecu-1-0mm","contact-tip","contact-tip-ecu-1-0mm","E-Cu Contact Tip 1.0 mm","main","front-three-quarter","/images/products/602-intake/contact-tip-ecu-1-0mm-main.jpg","White background with one exact product centered and fully visible","Show complete geometry, interfaces and genuine markings in focus","","","","requested","","","Exact candidate only; do not substitute a visually similar part."
"602-img-contact-tip-ecu-1-0mm-thread-orifice-detail","mig-series-602","602-candidate-contact-tip-ecu-1-0mm","contact-tip","contact-tip-ecu-1-0mm","E-Cu Contact Tip 1.0 mm","technical","thread-and-orifice-detail","/images/products/602-intake/contact-tip-ecu-1-0mm-thread-orifice-detail.jpg","Macro photographs of the thread, wire bore and genuine marking","Show thread profile and both ends in focus; do not alter bore, thread or body geometry","","","","requested","","","Exact candidate only; do not substitute a visually similar part."
