record_id,sku,product_slug,field,label,variant,reference_value,reference_unit,source_reference,requested_confirmation,confirmed_value,confirmed_unit,evidence_type,evidence_reference,verification_status,verified_by,verified_date,notes_internal
tech-af-mig-ct-0004-material-options,AF-MIG-CT-0004,mig-contact-tip-m6-0-8mm,material,Material options,,E-Cu / CuCrZr,,Company catalog PDF page 8 (catalog page 10),Confirm the supplied material grade for this exact SKU,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-ct-0004-wire-size,AF-MIG-CT-0004,mig-contact-tip-m6-0-8mm,wire_size,Wire size reference,,0.8,mm,Company catalog PDF page 8 (catalog page 10),Measure or confirm the wire bore on the approved sample,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-ct-0004-length,AF-MIG-CT-0004,mig-contact-tip-m6-0-8mm,overall_length,Overall length reference,,25,mm,Company catalog PDF page 8 (catalog page 10),Measure the overall length on the approved sample,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-ct-0004-thread,AF-MIG-CT-0004,mig-contact-tip-m6-0-8mm,thread,Thread reference,,M6,,Company catalog PDF page 8 (catalog page 10),Confirm the thread designation and mating holder,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-ct-0005-material-options,AF-MIG-CT-0005,mig-contact-tip-m6-1-0mm,material,Material options,,E-Cu / CuCrZr,,Company catalog PDF page 8 (catalog page 10),Confirm the supplied material grade for this exact SKU,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-ct-0005-wire-size,AF-MIG-CT-0005,mig-contact-tip-m6-1-0mm,wire_size,Wire size reference,,1.0,mm,Company catalog PDF page 8 (catalog page 10),Measure or confirm the wire bore on the approved sample,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-ct-0005-length,AF-MIG-CT-0005,mig-contact-tip-m6-1-0mm,overall_length,Overall length reference,,25,mm,Company catalog PDF page 8 (catalog page 10),Measure the overall length on the approved sample,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-ct-0005-thread,AF-MIG-CT-0005,mig-contact-tip-m6-1-0mm,thread,Thread reference,,M6,,Company catalog PDF page 8 (catalog page 10),Confirm the thread designation and mating holder,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-th-0007-length,AF-MIG-TH-0007,mig-tip-holder-for-mb15,overall_length,Overall length reference,,42,mm,Company catalog PDF page 8 (catalog page 10),Measure the complete holder length on the approved sample,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-th-0007-contact-tip-thread,AF-MIG-TH-0007,mig-tip-holder-for-mb15,thread,Contact-tip side thread,Contact-tip side,M6,,Company catalog PDF page 8 (catalog page 10),Confirm the contact-tip side thread and direction,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-th-0007-torch-neck-thread,AF-MIG-TH-0007,mig-tip-holder-for-mb15,thread,Torch-neck side thread,Torch-neck side,M8 x 1 LH,,Company catalog PDF page 8 (catalog page 10),Confirm the torch-neck side thread pitch and direction,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-gn-0008-length,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,overall_length,Overall length reference,,53,mm,Company catalog PDF page 8 (catalog page 10),Measure the overall length on each approved nozzle variant,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-gn-0008-cylindrical-opening,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,nozzle_opening,Cylindrical nozzle opening,Cylindrical,16,mm,Company catalog PDF page 8 (catalog page 10),Confirm profile opening and attachment on the same variant,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-gn-0008-conical-opening,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,nozzle_opening,Conical nozzle opening,Conical,12,mm,Company catalog PDF page 8 (catalog page 10),Confirm profile opening and attachment on the same variant,,,,,NEEDS_FACTORY_CONFIRMATION,,,
tech-af-mig-gn-0008-tapered-opening,AF-MIG-GN-0008,mig-gas-nozzle-for-mb15,nozzle_opening,Tapered nozzle opening,Tapered,9.5,mm,Company catalog PDF page 8 (catalog page 10),Confirm profile opening and attachment on the same variant,,,,,NEEDS_FACTORY_CONFIRMATION,,,
