request_id,series_evidence_id,candidate_id,component_key,variant_key,variant_label,asset_role,image_type,target_path,shot_guidance,required_detail,source_owner,usage_rights,file_name,review_status,reviewed_by,reviewed_date,notes_internal
501d-img-complete-torch-3m-main,mig-series-501d,501d-candidate-complete-torch-3m,complete-torch,complete-torch-3m,ORK 501D Complete Torch 3M,main,front-three-quarter,/images/products/501d-intake/complete-torch-3m-main.jpg,"White background with complete torch, cable and all media leads visible","Show front end, handle, cable, machine connector and coolant/media leads without changing geometry",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-complete-torch-5m-main,mig-series-501d,501d-candidate-complete-torch-5m,complete-torch,complete-torch-5m,ORK 501D Complete Torch 5M,main,front-three-quarter,/images/products/501d-intake/complete-torch-5m-main.jpg,"White background with complete torch, cable and all media leads visible","Show front end, handle, cable, machine connector and coolant/media leads without changing geometry",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-nozzle-cylindrical-20mm-wall-2-0-main,mig-series-501d,501d-candidate-nozzle-cylindrical-20mm-wall-2-0,gas-nozzle,nozzle-cylindrical-20mm-wall-2-0,Cylindrical Nozzle 20 mm / 2.0 mm Wall,main,front-three-quarter,/images/products/501d-intake/nozzle-cylindrical-20mm-wall-2-0-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-nozzle-conical-16mm-wall-2-0-main,mig-series-501d,501d-candidate-nozzle-conical-16mm-wall-2-0,gas-nozzle,nozzle-conical-16mm-wall-2-0,Conical Nozzle 16 mm / 2.0 mm Wall,main,front-three-quarter,/images/products/501d-intake/nozzle-conical-16mm-wall-2-0-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-nozzle-tapered-14mm-wall-2-0-main,mig-series-501d,501d-candidate-nozzle-tapered-14mm-wall-2-0,gas-nozzle,nozzle-tapered-14mm-wall-2-0,Tapered Nozzle 14 mm / 2.0 mm Wall,main,front-three-quarter,/images/products/501d-intake/nozzle-tapered-14mm-wall-2-0-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-nozzle-cylindrical-19mm-wall-2-5-main,mig-series-501d,501d-candidate-nozzle-cylindrical-19mm-wall-2-5,gas-nozzle,nozzle-cylindrical-19mm-wall-2-5,Cylindrical Nozzle 19 mm / 2.5 mm Wall,main,front-three-quarter,/images/products/501d-intake/nozzle-cylindrical-19mm-wall-2-5-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-nozzle-conical-16mm-wall-2-5-main,mig-series-501d,501d-candidate-nozzle-conical-16mm-wall-2-5,gas-nozzle,nozzle-conical-16mm-wall-2-5,Conical Nozzle 16 mm / 2.5 mm Wall,main,front-three-quarter,/images/products/501d-intake/nozzle-conical-16mm-wall-2-5-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-nozzle-tapered-14mm-wall-2-5-main,mig-series-501d,501d-candidate-nozzle-tapered-14mm-wall-2-5,gas-nozzle,nozzle-tapered-14mm-wall-2-5,Tapered Nozzle 14 mm / 2.5 mm Wall,main,front-three-quarter,/images/products/501d-intake/nozzle-tapered-14mm-wall-2-5-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-contact-tip-ecu-1-0mm-main,mig-series-501d,501d-candidate-tip-ecu-1-0,contact-tip,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,main,front-three-quarter,/images/products/501d-intake/contact-tip-ecu-1-0mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-contact-tip-ecu-1-2mm-main,mig-series-501d,501d-candidate-tip-ecu-1-2,contact-tip,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,main,front-three-quarter,/images/products/501d-intake/contact-tip-ecu-1-2mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-contact-tip-ecu-1-6mm-main,mig-series-501d,501d-candidate-tip-ecu-1-6,contact-tip,contact-tip-ecu-1-6mm,E-Cu Contact Tip 1.6 mm,main,front-three-quarter,/images/products/501d-intake/contact-tip-ecu-1-6mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-contact-tip-cucrzr-1-0mm-main,mig-series-501d,501d-candidate-tip-cucrzr-1-0,contact-tip,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,main,front-three-quarter,/images/products/501d-intake/contact-tip-cucrzr-1-0mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-contact-tip-cucrzr-1-2mm-main,mig-series-501d,501d-candidate-tip-cucrzr-1-2,contact-tip,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,main,front-three-quarter,/images/products/501d-intake/contact-tip-cucrzr-1-2mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-contact-tip-cucrzr-1-6mm-main,mig-series-501d,501d-candidate-tip-cucrzr-1-6,contact-tip,contact-tip-cucrzr-1-6mm,CuCrZr Contact Tip 1.6 mm,main,front-three-quarter,/images/products/501d-intake/contact-tip-cucrzr-1-6mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-contact-tip-cucrzr-2-4mm-main,mig-series-501d,501d-candidate-tip-cucrzr-2-4,contact-tip,contact-tip-cucrzr-2-4mm,CuCrZr Contact Tip 2.4 mm,main,front-three-quarter,/images/products/501d-intake/contact-tip-cucrzr-2-4mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-gas-diffuser-dmc-main,mig-series-501d,501d-candidate-gas-diffuser-dmc,gas-diffuser,gas-diffuser-dmc,Gas Diffuser DMC,main,front-three-quarter,/images/products/501d-intake/gas-diffuser-dmc-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-gas-diffuser-ceramic-main,mig-series-501d,501d-candidate-gas-diffuser-ceramic,gas-diffuser,gas-diffuser-ceramic,Gas Diffuser Ceramic,main,front-three-quarter,/images/products/501d-intake/gas-diffuser-ceramic-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-tip-holder-25mm-main,mig-series-501d,501d-candidate-tip-holder-25,tip-holder,tip-holder-25mm,Contact Tip Holder M8 x 25 mm,main,front-three-quarter,/images/products/501d-intake/tip-holder-25mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
501d-img-tip-holder-29mm-main,mig-series-501d,501d-candidate-tip-holder-29,tip-holder,tip-holder-29mm,Contact Tip Holder M8 x 29 mm,main,front-three-quarter,/images/products/501d-intake/tip-holder-29mm-main.jpg,White background with one exact product centered and fully visible,"Show complete geometry, interfaces and genuine markings in focus",,,,requested,,,One exact candidate only; no visually similar substitute.
