candidate_id,series_evidence_id,component_key,component_name,catalog_position,variant_key,variant_label,reference_summary,requested_confirmation,factory_product_name,factory_sku,factory_material,factory_thread,factory_dimensions,factory_compatibility,factory_packaging,factory_moq,factory_lead_time,evidence_type,evidence_reference,verification_status,verified_by,verified_date,image_request_status,notes_internal
25ak-candidate-complete-torch-3m,mig-series-25ak,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-3m,ORK 25AK Complete Torch 3M,Catalog lists a 3 m complete torch,Confirm exact supplied torch model and cable length; resolve rating duty-cycle and wire-size conflicts; provide specification or controlled test record,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not assign an ArcFort Weld SKU until the exact torch and conflict fields are resolved.
25ak-candidate-complete-torch-5m,mig-series-25ak,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-5m,ORK 25AK Complete Torch 5M,Catalog lists a 5 m complete torch,Confirm exact supplied torch model and cable length; resolve rating duty-cycle and wire-size conflicts; provide specification or controlled test record,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not assign an ArcFort Weld SKU until the exact torch and conflict fields are resolved.
25ak-candidate-nozzle-cylindrical,mig-series-25ak,gas-nozzle,Gas Nozzle,1,nozzle-cylindrical-18mm,Cylindrical Nozzle 18 mm,Catalog shows cylindrical profile with 18 mm opening and a shared 22 x 57 mm diagram,Confirm opening outside diameter length connection and exact product geometry by drawing or sample,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Shared diagram values must be checked against this exact profile.
25ak-candidate-nozzle-conical,mig-series-25ak,gas-nozzle,Gas Nozzle,1,nozzle-conical-15mm,Conical Nozzle 15 mm,Catalog shows conical profile with 15 mm opening and a shared 22 x 57 mm diagram,Confirm opening outside diameter length connection and exact product geometry by drawing or sample,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Shared diagram values must be checked against this exact profile.
25ak-candidate-nozzle-tapered,mig-series-25ak,gas-nozzle,Gas Nozzle,1,nozzle-tapered-11-5mm,Tapered Nozzle 11.5 mm,Catalog shows tapered profile with 11.5 mm opening and a shared 22 x 57 mm diagram,Confirm opening outside diameter length connection and exact product geometry by drawing or sample,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Shared diagram values must be checked against this exact profile.
25ak-candidate-tip-ecu-0-8,mig-series-25ak,contact-tip,Contact Tip,2,contact-tip-ecu-0-8mm,E-Cu Contact Tip 0.8 mm,Catalog lists E-Cu M6 x 28 contact tip for 0.8 mm wire,Confirm material marking wire opening thread body diameter and length on exact part,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not infer the variant from appearance alone.
25ak-candidate-tip-ecu-0-9,mig-series-25ak,contact-tip,Contact Tip,2,contact-tip-ecu-0-9mm,E-Cu Contact Tip 0.9 mm,Catalog lists E-Cu M6 x 28 contact tip for 0.9 mm wire,Confirm material marking wire opening thread body diameter and length on exact part,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not infer the variant from appearance alone.
25ak-candidate-tip-ecu-1-0,mig-series-25ak,contact-tip,Contact Tip,2,contact-tip-ecu-1-0mm,E-Cu Contact Tip 1.0 mm,Catalog lists E-Cu M6 x 28 contact tip for 1.0 mm wire,Confirm material marking wire opening thread body diameter and length on exact part,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not infer the variant from appearance alone.
25ak-candidate-tip-ecu-1-2,mig-series-25ak,contact-tip,Contact Tip,2,contact-tip-ecu-1-2mm,E-Cu Contact Tip 1.2 mm,Catalog lists E-Cu M6 x 28 contact tip for 1.2 mm wire,Confirm material marking wire opening thread body diameter and length on exact part,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not infer the variant from appearance alone.
25ak-candidate-tip-cucrzr-0-8,mig-series-25ak,contact-tip,Contact Tip,2,contact-tip-cucrzr-0-8mm,CuCrZr Contact Tip 0.8 mm,Catalog lists CuCrZr M6 x 28 contact tip for 0.8 mm wire,Confirm alloy grade marking wire opening thread body diameter and length on exact part,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Material grade requires exact product evidence.
25ak-candidate-tip-cucrzr-1-0,mig-series-25ak,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-0mm,CuCrZr Contact Tip 1.0 mm,Catalog lists CuCrZr M6 x 28 contact tip for 1.0 mm wire,Confirm alloy grade marking wire opening thread body diameter and length on exact part,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Material grade requires exact product evidence.
25ak-candidate-tip-cucrzr-1-2,mig-series-25ak,contact-tip,Contact Tip,2,contact-tip-cucrzr-1-2mm,CuCrZr Contact Tip 1.2 mm,Catalog lists CuCrZr M6 x 28 contact tip for 1.2 mm wire,Confirm alloy grade marking wire opening thread body diameter and length on exact part,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Material grade requires exact product evidence.
25ak-candidate-tip-holder,mig-series-25ak,tip-holder,Contact Tip Holder,3,tip-holder,Contact Tip Holder,Catalog diagram shows M8 and M6 ends with 35 mm length,Confirm both threads handedness length diameter gas openings and exact mating geometry,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Confirm both connection ends on the exact holder.
25ak-candidate-swan-neck,mig-series-25ak,swan-neck,Swan Neck,4,swan-neck,Swan Neck,Catalog exploded assembly and detail diagram show a swan neck with M8 front thread,Confirm front and rear connections bend angle dimensions insulation and exact supplied assembly,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Do not infer compatibility from outer shape.
25ak-candidate-cable-support-spring,mig-series-25ak,cable-support-spring,Cable Support Spring,5,cable-support-spring,Cable Support Spring,Catalog exploded assembly lists the cable support spring,Confirm dimensions material attachment method and exact supplied assembly,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Catalog provides no exact dimensions.
25ak-candidate-rear-handle,mig-series-25ak,rear-handle,Rear Handle,6,rear-handle,Rear Handle,Catalog exploded assembly lists the rear handle,Confirm dimensions material connection and exact supplied assembly,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Catalog provides no exact dimensions.
25ak-candidate-adaptor-nut,mig-series-25ak,adaptor-nut,Adaptor Nut,7,adaptor-nut,Adaptor Nut,Catalog exploded assembly lists the adaptor nut,Confirm thread dimensions material and mating connector,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Catalog provides no thread value for this component.
25ak-candidate-euro-connector,mig-series-25ak,euro-connector,Euro Connector,8,euro-connector,Euro Connector,Catalog exploded assembly labels a Euro Connector,Confirm complete machine-side interface pin arrangement dimensions and cable connections,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Trade name does not prove one exact interface.
25ak-candidate-nut-m10x1,mig-series-25ak,connector-nut,Connector Nut,9,nut-m10x1,Nut M10 x 1,Catalog lists a connector nut with M10 x 1 thread,Confirm thread handedness dimensions material and mating connection,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,Confirm on exact supplied part.
25ak-candidate-liner-3-5m,mig-series-25ak,torch-liner,Torch Liner,10,liner-3-5m,Torch Liner 3.5 m,Catalog lists liner for 0.8-1.0 mm wire with 3.5 m length,Confirm liner type outside diameter ends actual length and supported wire range,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,End geometry must be photographed and measured.
25ak-candidate-liner-5-5m,mig-series-25ak,torch-liner,Torch Liner,10,liner-5-5m,Torch Liner 5.5 m,Catalog lists liner for 0.8-1.0 mm wire with 5.5 m length,Confirm liner type outside diameter ends actual length and supported wire range,"","","","","","","","","","","",NEEDS_FACTORY_CONFIRMATION,"","",requested,End geometry must be photographed and measured.
