candidate_id,series_evidence_id,component_key,component_name,catalog_position,variant_key,variant_label,reference_summary,requested_confirmation,factory_product_name,factory_sku,factory_material,factory_thread,factory_dimensions,factory_compatibility,factory_packaging,factory_moq,factory_lead_time,evidence_type,evidence_reference,verification_status,verified_by,verified_date,image_request_status,notes_internal
"602-candidate-complete-torch-3m","mig-series-602","complete-torch","Complete Water-Cooled MIG/MAG Welding Torch","assembly","complete-torch-3m","ORK 602 Complete Torch 3M","Catalog table lists an ORK 602 complete water-cooled torch with 3 m cable length.","Resolve the 501D/602 page identity conflict; confirm exact model, cable length, rating, coolant circuit, media connections and central connector","","","","","","","","","","","","NEEDS_FACTORY_CONFIRMATION","","","requested","No SKU until the catalog identity conflict and water-cooled interface evidence are resolved."
"602-candidate-complete-torch-5m","mig-series-602","complete-torch","Complete Water-Cooled MIG/MAG Welding Torch","assembly","complete-torch-5m","ORK 602 Complete Torch 5M","Catalog table lists an ORK 602 complete water-cooled torch with 5 m cable length.","Resolve the 501D/602 page identity conflict; confirm exact model, cable length, rating, coolant circuit, media connections and central connector","","","","","","","","","","","","NEEDS_FACTORY_CONFIRMATION","","","requested","No SKU until the catalog identity conflict and water-cooled interface evidence are resolved."
"602-candidate-gas-nozzle-18mm","mig-series-602","gas-nozzle","Gas Nozzle","1","gas-nozzle-18mm","Gas Nozzle 18 mm","Catalog table lists one gas-nozzle candidate with an 18 mm opening reference.","Confirm opening, overall length, outside profile, stepped diameters, wall thickness, connection and exact geometry","","","","","","","","","","","","NEEDS_FACTORY_CONFIRMATION","","","requested","Candidate only; no SKU or compatibility relationship until exact identity and evidence are reviewed."
"602-candidate-contact-tip-ecu-1-0mm","mig-series-602","contact-tip","Contact Tip","2","contact-tip-ecu-1-0mm","E-Cu Contact Tip 1.0 mm","Catalog table lists a E-Cu M8 x 30 contact tip for 1.0 mm wire.","Confirm material grade, M8 thread, 30 mm length, 10 mm body reference, wire bore, tolerance and genuine marking","","","","","","","","","","","","NEEDS_FACTORY_CONFIRMATION","","","requested","Candidate only; no SKU or compatibility relationship until exact identity and evidence are reviewed."
"602-candidate-contact-tip-ecu-1-2mm","mig-series-602","contact-tip","Contact Tip","2","contact-tip-ecu-1-2mm","E-Cu Contact Tip 1.2 mm","Catalog table lists a E-Cu M8 x 30 contact tip for 1.2 mm wire.","Confirm material grade, M8 thread, 30 mm length, 10 mm body reference, wire bore, tolerance and genuine marking","","","","","","","","","","","","NEEDS_FACTORY_CONFIRMATION","","","requested","Candidate only; no SKU or compatibility relationship until exact identity and evidence are reviewed."
"602-candidate-contact-tip-ecu-1-6mm","mig-series-602","contact-tip","Contact Tip","2","contact-tip-ecu-1-6mm","E-Cu Contact Tip 1.6 mm","Catalog table lists a E-Cu M8 x 30 contact tip for 1.6 mm wire.","Confirm material grade, M8 thread, 30 mm length, 10 mm body reference, wire bore, tolerance and genuine marking","","","","","","","","","","","","NEEDS_FACTORY_CONFIRMATION","","","requested","Candidate only; no SKU or compatibility relationship until exact identity and evidence are reviewed."
"602-candidate-contact-tip-cucrzr-1-0mm","mig-series-602","contact-tip","Contact Tip","2","contact-tip-cucrzr-1-0mm","CuCrZr Contact Tip 1.0 mm","Catalog table lists a CuCrZr M8 x 30 contact tip for 1.0 mm wire.","Confirm material grade, M8 thread, 30 mm length, 10 mm body reference, wire bore, tolerance and genuine marking","","","","","","","","","","","","NEEDS_FACTORY_CONFIRMATION","","","requested","Candidate only; no SKU or compatibility relationship until exact identity and evidence are reviewed."
"602-candidate-contact-tip-cucrzr-1-2mm","mig-series-602","contact-tip","Contact Tip","2","contact-tip-cucrzr-1-2mm","CuCrZr Contact Tip 1.2 mm","Catalog table lists a CuCrZr M8 x 30 contact tip for 1.2 mm wire.","Confirm material grade, M8 thread, 30 mm length, 10 mm body reference, wire bore, tolerance and genuine marking","","","","","","","","","","","","NEEDS_FACTORY_CONFIRMATION","","","requested","Candidate only; no SKU or compatibility relationship until exact identity and evidence are reviewed."
"602-candidate-contact-tip-cucrzr-1-6mm","mig-series-602","contact-tip","Contact Tip","2","contact-tip-cucrzr-1-6mm","CuCrZr Contact Tip 1.6 mm","Catalog table lists a CuCrZr M8 x 30 contact tip for 1.6 mm wire.","Confirm material grade, M8 thread, 30 mm length, 10 mm body reference, wire bore, tolerance and genuine marking","","","","","","","","","","","","NEEDS_FACTORY_CONFIRMATION","","","requested","Candidate only; no SKU or compatibility relationship until exact identity and evidence are reviewed."
"602-candidate-contact-tip-cucrzr-2-4mm","mig-series-602","contact-tip","Contact Tip","2","contact-tip-cucrzr-2-4mm","CuCrZr Contact Tip 2.4 mm","Catalog table lists a CuCrZr M8 x 30 contact tip for 2.4 mm wire.","Confirm material grade, M8 thread, 30 mm length, 10 mm body reference, wire bore, tolerance and genuine marking","","","","","","","","","","","","NEEDS_FACTORY_CONFIRMATION","","","requested","Candidate only; no SKU or compatibility relationship until exact identity and evidence are reviewed."
