claim_id,claim_key,claim_group,market_scope,public_value,source_level,source_kind,source_reference,verification_status,publication_status,reviewed_by,reviewed_date,notes_internal
claim-legal-name-en,legal_name_en,identity,global,"Renqiu Ailesen Welding Technology Co., Ltd.",A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Use as the legal English organization name.
claim-legal-name-zh,legal_name_zh,identity,global,任丘市埃勒森焊接科技有限公司,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Use as the legal Chinese organization name.
claim-brand-name,brand_name,identity,global,ArcFort Weld,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Keep the brand distinct from the legal entity.
claim-website,website,identity,global,https://www.arcfortweld.com,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Canonical public website URL.
claim-business-email,business_email,contact,global,arcfortweld@outlook.com,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Public sales and inquiry email.
claim-whatsapp,whatsapp,contact,global,+86-18803076512,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Public WhatsApp inquiry number.
claim-address,address,contact,global,"Renqiu City, Cangzhou, Hebei Province, China",A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Do not expand this into an unverified street or factory address.
claim-main-port,main_port,trade,international,Tianjin Xingang Port / Tianjin Port China,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Main export port statement.
claim-alternative-ports,alternative_ports,trade,international,Qingdao Port or Ningbo Port may be discussed upon request.,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Keep availability conditional on the order.
claim-payment-terms,payment_terms,payment,international,"T/T is preferred: 30% deposit before production and 70% balance before shipment.",A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Final terms remain order-specific.
claim-payment-alternative,payment_alternative,payment,international,L/C at sight may be discussed for large orders.,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Do not present L/C as automatically accepted.
claim-moq-policy,moq_policy,order,global,Small trial orders are accepted for selected standard products; OEM MOQ depends on product and packaging requirements.,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Do not convert this policy into a product-specific quantity.
claim-regular-lead-time,regular_lead_time,order,global,Regular orders normally require 7-20 working days after deposit confirmation.,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Keep timing conditional on order review.
claim-sample-lead-time,sample_lead_time,order,global,Sample orders normally require 3-7 working days when materials are available.,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Keep material availability condition visible.
claim-oem-lead-time,oem_lead_time,order,global,OEM or customized orders normally require 20-35 working days depending on quantity packaging and production schedule.,A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Do not promise an exact date before order review.
claim-oem-scope,oem_scope,service,global,"OEM support may include logo printing, private-label packaging, carton design and model customization based on buyer requirements.",A,owner_confirmation,"AGENTS.md Confirmed Identity; lib/content/site.ts",CONFIRMED,approved,Repository owner,2026-08-30,Project feasibility remains subject to product review.
claim-factory-ownership,factory_ownership,governance,internal,TBD,unknown,unknown,No qualifying Level A ownership evidence is registered.,NEEDS_FACTORY_CONFIRMATION,blocked,,,Do not claim factory ownership or certified-manufacturer status.
claim-certifications,certifications,governance,internal,TBD,unknown,unknown,No certification register or current certificate evidence is registered.,NEEDS_FACTORY_CONFIRMATION,blocked,,,Do not claim CE ISO RoHS UL or other certification without current scoped evidence.
claim-production-capacity,production_capacity,governance,internal,TBD,unknown,unknown,No reviewed production-capacity evidence is registered.,NEEDS_FACTORY_CONFIRMATION,blocked,,,Do not publish factory size equipment staff output or capacity figures.
claim-customer-cases,customer_cases,governance,internal,TBD,unknown,unknown,No permissioned customer-case evidence is registered.,NEEDS_FACTORY_CONFIRMATION,blocked,,,Do not publish customer names logos testimonials projects or cases.
claim-distributor-network,distributor_network,governance,internal,TBD,unknown,unknown,No reviewed distributor-count or territory evidence is registered.,NEEDS_FACTORY_CONFIRMATION,blocked,,,Nationwide supply and distributor cooperation wording is allowed; a dealer network claim is not.
claim-export-volume,export_volume,governance,internal,TBD,unknown,unknown,No reviewed export-volume evidence is registered.,NEEDS_FACTORY_CONFIRMATION,blocked,,,Do not publish sales volume market share export countries or shipment statistics.
