fact_id,series_evidence_id,scope,component_key,component_name,catalog_position,variant_key,variant_label,field,label,reference_value,reference_unit,source_reference,source_level,verification_status,comparison_source_type,comparison_source_reference,comparison_value,conflict_note,lifecycle_status,target_sku,reviewed_by,reviewed_date,notes_internal
24kd-series-designation,mig-series-24kd,series,24kd-series,24KD Catalog Reference Group,,24kd-series,24KD catalog reference group,series_designation,Series Designation,ORK 24KD,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Catalog designation does not create a confirmed ArcFort Weld product series.
24kd-series-compatibility,mig-series-24kd,series,24kd-series,24KD Catalog Reference Group,,24kd-series,24KD catalog reference group,compatibility_statement,Catalog Compatibility Wording,Compatible torch and Parts For BINZEL,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Retain as catalog wording only; it does not prove compatibility for any ArcFort Weld SKU.
24kd-series-cooling,mig-series-24kd,series,24kd-series,24KD Catalog Reference Group,,24kd-series,24KD catalog reference group,cooling_method,Cooling Method,Air cooled,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm the supplied complete-torch construction before publication.
24kd-series-rating-conflict,mig-series-24kd,series,24kd-series,24KD Catalog Reference Group,,24kd-series,24KD catalog reference group,rating,Catalog Rating,100 A CO2 / 100 A mixed gases,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,DATA_CONFLICT,official_oem_catalog,https://www.binzel-abicor.com/uploads/Content/Germany/PDF-Files/PDF_Files_MIGMAG/English/PRO_M277_GB_MIGMAG_31_WEB_PW.pdf,250 A CO2 / 220 A mixed gases,Company catalog value conflicts with the official ABICOR BINZEL MB GRIP 24 KD reference; do not publish either as an ArcFort Weld rating.,blocked,,Official company catalog and OEM primary-source comparison,2026-08-21,Requires factory specification or controlled product test for the exact supplied torch.
24kd-series-duty-cycle-conflict,mig-series-24kd,series,24kd-series,24KD Catalog Reference Group,,24kd-series,24KD catalog reference group,duty_cycle,Catalog Duty Cycle,35,%,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,DATA_CONFLICT,official_oem_catalog,https://www.binzel-abicor.com/uploads/Content/Germany/PDF-Files/PDF_Files_MIGMAG/English/PRO_M277_GB_MIGMAG_31_WEB_PW.pdf,60%,Company catalog value conflicts with the official ABICOR BINZEL MB GRIP 24 KD reference; do not publish either as an ArcFort Weld duty cycle.,blocked,,Official company catalog and OEM primary-source comparison,2026-08-21,Requires factory specification or controlled product test for the exact supplied torch.
24kd-series-wire-size-conflict,mig-series-24kd,series,24kd-series,24KD Catalog Reference Group,,24kd-series,24KD catalog reference group,wire_size,Catalog Wire Size,0.6-1.0,mm,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,DATA_CONFLICT,official_oem_catalog,https://www.binzel-abicor.com/uploads/Content/Germany/PDF-Files/PDF_Files_MIGMAG/English/PRO_M277_GB_MIGMAG_31_WEB_PW.pdf,0.8-1.2 mm,Company catalog value conflicts with the official ABICOR BINZEL MB GRIP 24 KD reference; do not publish either as an ArcFort Weld wire-size range.,blocked,,Official company catalog and OEM primary-source comparison,2026-08-21,Requires factory specification or controlled product test for the exact supplied torch.
24kd-complete-torch-3m-presence,mig-series-24kd,variant,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-3m,ORK 24KD Complete Torch 3M,component_presence,Catalog Component,ORK 24KD Complete Torch 3M,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; no ArcFort Weld SKU has been assigned.
24kd-complete-torch-3m-length,mig-series-24kd,variant,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-3m,ORK 24KD Complete Torch 3M,cable_length,Cable Length,3,m,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual supplied cable assembly length.
24kd-complete-torch-5m-presence,mig-series-24kd,variant,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-5m,ORK 24KD Complete Torch 5M,component_presence,Catalog Component,ORK 24KD Complete Torch 5M,,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Component candidate only; no ArcFort Weld SKU has been assigned.
24kd-complete-torch-5m-length,mig-series-24kd,variant,complete-torch,Complete MIG/MAG Welding Torch,assembly,complete-torch-5m,ORK 24KD Complete Torch 5M,cable_length,Cable Length,5,m,"Renqiu Ailesen welding catalog PDF page 9 (catalog pages 11-12).",A,NEEDS_FACTORY_CONFIRMATION,,,,,evidence_only,,Official company catalog review,2026-08-21,Confirm actual supplied cable assembly length.
